full_text,case_folding CPMK2,preprocessing CPMK3,label
Fokus pada keterangan Menteri Purbaya: ....yang ada malah beberapa dibakar kan? Apa kejadian beberapa kilang yang pernah terjadi beberapa waktu lalu terbakar itu dibakar ? Kalau benar wajib diselidiki https://t.co/lLy8PfXpBM,fokus pada keterangan menteri purbaya: ....yang ada malah beberapa dibakar kan? apa kejadian beberapa kilang yang pernah terjadi beberapa waktu lalu terbakar itu dibakar ? kalau benar wajib diselidiki https://t.co/lly8pfxpbm,fokus terang menteri bakar jadi kilang bakar bakar wajib selidik,positive
@Markadina99 @DS_yantie Dan kata pak menkeu Purbaya.. Pertamina itu pemales.. ,@markadina99 @ds_yantie dan kata pak menkeu purbaya.. pertamina itu pemales.. ,pertamina pales,positive
@CakKhum gaya bicara pak purbaya berasa dengerin dosen dikelas wkek,@cakkhum gaya bicara pak purbaya berasa dengerin dosen dikelas wkek,gaya bicara asa dengerin dosen kelas wkek,positive
cowo tengil yang bisa gue terima keknya cuma pak purbaya deh,cowo tengil yang bisa gue terima keknya cuma pak purbaya deh,cowo tengil terima kek,positive
Apa kata RG .... Gimana Purbaya sebagai kepala kasier mau mengatur kepala pabrik yg di pimpin sama kepala2 partai yg rata2 Maling semua. https://t.co/S2bgMVdOUh,apa kata rg .... gimana purbaya sebagai kepala kasier mau mengatur kepala pabrik yg di pimpin sama kepala2 partai yg rata2 maling semua. https://t.co/s2bgmvdouh,rg kepala kasier atur kepala pabrik pimpin kepala partai maling,positive
@SelebtwitMobil Jangan lupa purbaya efek membuat rakyat lupa segalanya ditambah dukungan buzzer untuk euforia purbaya,@selebtwitmobil jangan lupa purbaya efek membuat rakyat lupa segalanya ditambah dukungan buzzer untuk euforia purbaya,lupa efek rakyat lupa tambah dukung buzzer euforia,negative
I love this guy. Apa adanya. Tanpa kepentingan . Just do it Mr purbaya #purbaya,i love this guy. apa adanya. tanpa kepentingan . just do it mr purbaya #purbaya,i love this guy penting just do it mr,positive
Jujur..... Pak purbaya ini keren...,jujur..... pak purbaya ini keren...,jujur keren,positive
Awalnya Purbaya berencana menurunkan tarif tetapi karena industri meminta tidak ada perubahan maka diputuskan status quo. Menkeu menekankan bahwa masukan dari industri harus memperhatikan kepentingan bersama bukan hanya produsen.,awalnya purbaya berencana menurunkan tarif tetapi karena industri meminta tidak ada perubahan maka diputuskan status quo. menkeu menekankan bahwa masukan dari industri harus memperhatikan kepentingan bersama bukan hanya produsen.,rencana turun tarif industri ubah putus status quo tekan masuk industri perhati penting produsen,positive
Kebijakan Cukai Rokok 2026 Menteri Keuangan Purbaya Yudhi Sadewa memastikan tarif cukai hasil tembakau (CHT) atau cukai rokok tidak akan naik tahun 2026. https://t.co/Tcy9DGWJvm,kebijakan cukai rokok 2026 menteri keuangan purbaya yudhi sadewa memastikan tarif cukai hasil tembakau (cht) atau cukai rokok tidak akan naik tahun 2026. https://t.co/tcy9dgwjvm,bijak cukai rokok menteri uang yudhi sadewa tarif cukai hasil tembakau chat cukai rokok,positive
@bahlillahadalia 5. guru disuruh jadi teaster mbg 6. polisi makin keliatan ga guna (update wna yg kehilangan barang) 7. menteri purbaya vs Dewan Perampok Rakyat @DPR_RI 8. #FreePalaestine 9. wowo bukan WNI (karna dia pro zionis negara manapun yg mau angkut dia) angkut plis,@bahlillahadalia 5. guru disuruh jadi teaster mbg 6. polisi makin keliatan ga guna (update wna yg kehilangan barang) 7. menteri purbaya vs dewan perampok rakyat @dpr_ri 8. #freepalaestine 9. wowo bukan wni (karna dia pro zionis negara manapun yg mau angkut dia) angkut plis,guru suruh teaster mbg polisi liat update wna hilang barang menteri vs dewan rampok rakyat freepalaestine wowo wni karna pro zionis negara mana angkut angkut plis,positive
Bahkan yang sdh ada dibakar Purbaya say,bahkan yang sdh ada dibakar purbaya say,bakar say,positive
Alhamdulillah....KEMENKEU RI DIJABAT OLEH PAK PURBAYA.... MUDAH2AN....SEGALA KEBOCORAN APBN YG SELAMA INI TERJADI DAPAT DIATASI..... DAN SEMOGA @KPK_RI DAN @PPATK DAPAT MEMBONGKAR BERAGAM KEJAHATAN YG SELAMA INI TERJADI,alhamdulillah....kemenkeu ri dijabat oleh pak purbaya.... mudah2an....segala kebocoran apbn yg selama ini terjadi dapat diatasi..... dan semoga @kpk_ri dan @ppatk dapat membongkar beragam kejahatan yg selama ini terjadi,alhamdulillah kemenkeu republik indonesia jabat mudah an bocor apbn atas moga bongkar agam jahat,positive
Sedang menatap masa depan Indonesia dengan mata berkilau kilau. Liat Pak Menteri Purbaya a new hero in Cilo eye s. Terkagum kagum cilonya ⭐️⭐️⭐️ https://t.co/H5f8YD0zz7,sedang menatap masa depan indonesia dengan mata berkilau kilau. liat pak menteri purbaya a new hero in cilo eye s. terkagum kagum cilonya ⭐️⭐️⭐️ https://t.co/h5f8yd0zz7,tatap indonesia mata kilau kilau liat menteri a new hero in cilo eye s kagum kagum cilonya star star star,positive
@dhaintly bro mister purbaya ini OP juga ya,@dhaintly bro mister purbaya ini op juga ya,kakak mister op,positive
purbaya nih gen z bgt kata gw mah,purbaya nih gen z bgt kata gw mah,gen z banget mah,positive
Gokil si kalau liat cuplikan nya. Mungkin algoritma yang masuk ke gw bagus ya. Masih dini mungkin. Tapi feeling gw Purbaya ini bisa jadi harapan baru sih di Indonesia. Presiden?,gokil si kalau liat cuplikan nya. mungkin algoritma yang masuk ke gw bagus ya. masih dini mungkin. tapi feeling gw purbaya ini bisa jadi harapan baru sih di indonesia. presiden?,gokil si liat cuplik nya algoritma masuk bagus feeling harap indonesia presiden,positive
Tp tak boleh gt ya Purbaya. Km megang dua gt di keuangan pula. No no no ya ,tp tak boleh gt ya purbaya. km megang dua gt di keuangan pula. no no no ya ,gt megang gt uang no no no,positive
Sebagai warga RI saya tak perlu takut atas munculnya pertanda financial crash. Ada Menkeu Purbaya @KemenkeuRI yang mengaku sudah berpengalaman memanage masalah seperti itu,sebagai warga ri saya tak perlu takut atas munculnya pertanda financial crash. ada menkeu purbaya @kemenkeuri yang mengaku sudah berpengalaman memanage masalah seperti itu,warga republik indonesia takut muncul tanda financial crash aku alam memanage,positive
purbaya savage bgt sidang di dpr ke bawahannya ngancem selesein 1 bulan kl ga selesai saya ganti kamu. depan puluhan anggota dpr.,purbaya savage bgt sidang di dpr ke bawahannya ngancem selesein 1 bulan kl ga selesai saya ganti kamu. depan puluhan anggota dpr.,savage banget sidang dpr bawah ngancem selesein selesai ganti puluh anggota dpr,positive
Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa mengungkapkan rencana sidak secara acak terhadap bank Himpunan Milik Negara (Himbara) yang kebagian kucuranRpRp200 triliun. Sebelumnya Purbaya telah melakukan sidak ke bank BNI untuk memantau penyaluran kredit. https://t.co/OJcim4VOsb,menteri keuangan (menkeu) purbaya yudhi sadewa mengungkapkan rencana sidak secara acak terhadap bank himpunan milik negara (himbara) yang kebagian kucuranrprp200 triliun. sebelumnya purbaya telah melakukan sidak ke bank bni untuk memantau penyaluran kredit. https://t.co/ojcim4vosb,menteri uang yudhi sadewa rencana sidak acak bank himpun milik negara himbara bagi kucuranrprp triliun sidak bank bni pantau salur kredit,positive
@dhaintly Bapak Purbaya kerjanya sat set .. mantap,@dhaintly bapak purbaya kerjanya sat set .. mantap,kerja sat set mantap,positive
Pantess Purbaya ngomel2 ke pertamina masalah kilang minyak.. komisarisnya bukannya fokus kerja malah sibuk bikin gaduh dunia sosmed! @NasbiHasan viral lagi oh viral lagi wkwkw cc @setkabgoid @KemensetnegRI @Gerindra,pantess purbaya ngomel2 ke pertamina masalah kilang minyak.. komisarisnya bukannya fokus kerja malah sibuk bikin gaduh dunia sosmed! @nasbihasan viral lagi oh viral lagi wkwkw cc @setkabgoid @kemensetnegri @gerindra,pantess ngomel pertamina kilang minyak komisaris fokus kerja sibuk bikin gaduh dunia sosmed viral viral wkwkw cc,positive
@albert54769 @Tan_Mar3M @PurbayaYudhi Opo Purbaya...wani karo anggota dewan?..ora wani coy....,@albert54769 @tan_mar3m @purbayayudhi opo purbaya...wani karo anggota dewan?..ora wani coy....,opo wani karo anggota dewan ora wani coy,negative
@profesor_saham Cristiano purbaya mengacak2,@profesor_saham cristiano purbaya mengacak2,cristiano acak,positive
Menkeu Purbaya sat set sat set https://t.co/8w8cfR7vZr,menkeu purbaya sat set sat set https://t.co/8w8cfr7vzr,sat set sat set,positive
@BosPurwa Pelan Mr. Purbaya. Nanti ada goblin minyak yg butthurt dgn omongan anda Mr.,@bospurwa pelan mr. purbaya. nanti ada goblin minyak yg butthurt dgn omongan anda mr.,pelan mr goblin minyak butthurt omong mr,positive
Baca nie apa gua bilang ekon lesu kan daya beli longsor ke jurang kan gw pernah post. Sdh lama.omongan kont@ l purbaya aja loe denger ampe terksesima segala kredit aja juga pake bunga itu juga 4%.wkwk bank jg takut NPL nya melonjak. mentri2 pencitraan. nanti bank juga pakai,baca nie apa gua bilang ekon lesu kan daya beli longsor ke jurang kan gw pernah post. sdh lama.omongan kont@ l purbaya aja loe denger ampe terksesima segala kredit aja juga pake bunga itu juga 4%.wkwk bank jg takut npl nya melonjak. mentri2 pencitraan. nanti bank juga pakai,baca nie bilang ekon lesu daya beli longsor jurang post omong kont l aja denger ampe terksesima kredit aja pake bunga bank takut npl nya lonjak tri citra bank pakai,negative
Kayanya sebelum purbaya jarang banget liat beginian ya.,kayanya sebelum purbaya jarang banget liat beginian ya.,kaya jarang banget liat,positive
 Mungkin Purbaya adalah sosok yang diperlukan oleh negara kita disaat ekonomi yang pesimis seperti ini. Glagatnya yang selalu menyetuh dasar tidak hanya diam di menara gading dan narasi yang selalu positif juga sangat berpengaruh bagi iklim ekonomi., mungkin purbaya adalah sosok yang diperlukan oleh negara kita disaat ekonomi yang pesimis seperti ini. glagatnya yang selalu menyetuh dasar tidak hanya diam di menara gading dan narasi yang selalu positif juga sangat berpengaruh bagi iklim ekonomi.,sosok negara saat ekonomi pesimis glagatnya menyetuh dasar diam menara gading narasi positif pengaruh iklim ekonomi,positive
Emang benar apa yang dikatakan Menteri Purbaya kalau Pertamina malas-malasan. Nggak mau berkompetisi maunya monopoli https://t.co/AM2qPw15VR,emang benar apa yang dikatakan menteri purbaya kalau pertamina malas-malasan. nggak mau berkompetisi maunya monopoli https://t.co/am2qpw15vr,emang menteri pertamina malas malas kompetisi mau monopoli,positive
Gw dengar penjelasan lord purbaya makin kontol aja ini pertamina ya dibilang overproduksi tapi kilang masih tahap pembangunan anjer dan beberapa kilang dibakar agar jadi mesti impor dan juga ditambah subsidi biar harga gak naik dimarket Kalau gak sanggup bilang anjer,gw dengar penjelasan lord purbaya makin kontol aja ini pertamina ya dibilang overproduksi tapi kilang masih tahap pembangunan anjer dan beberapa kilang dibakar agar jadi mesti impor dan juga ditambah subsidi biar harga gak naik dimarket kalau gak sanggup bilang anjer,dengar jelas lord kontol aja pertamina bilang overproduksi kilang tahap bangun anjer kilang bakar mesti impor tambah subsidi harga dimarket sanggup bilang anjer,positive
Bukan Rp10.000 per Liter Purbaya Ungkap Harga Asli BBM Pertalite https://t.co/RiIIhjr9Pq . Kualitasnya beda jauh pak,bukan rp10.000 per liter purbaya ungkap harga asli bbm pertalite https://t.co/riiihjr9pq . kualitasnya beda jauh pak,rupiah liter harga asli bbm pertalite kualitas beda,positive
Menkeu Purbaya Buka-bukaan soal Kilang Baru: Bukan Tidak Bisa Bikin Cuma Pertaminanya Malas-malasan https://t.co/R9vWJUdrou,menkeu purbaya buka-bukaan soal kilang baru: bukan tidak bisa bikin cuma pertaminanya malas-malasan https://t.co/r9vwjudrou,buka buka kilang bikin pertaminanya malas malas,positive
@dhaintly Klop lah sm korupsi ribuan triliun dan pertamax oplos uda bener pa purbaya momentumnya pertamina kalau ga diginiin keenakan serang trus pa warganet dbelakang bpk,@dhaintly klop lah sm korupsi ribuan triliun dan pertamax oplos uda bener pa purbaya momentumnya pertamina kalau ga diginiin keenakan serang trus pa warganet dbelakang bpk,klop korupsi ribu triliun pertamax oplos uda pa momentum pertamina diginiin enak serang pa warganet dbelakang bpk,positive
@GoodRecom Pak prabowo paling minimal harus ganti listyo contohlah mentri keuangan purbaya netizen sk gaya koboy beliau blak blakan ingin membenahi internal ny yg rusak. Jgn smp dinepalkan emang betul apa kata bang rismon uda akut sekarat sistemnya,@goodrecom pak prabowo paling minimal harus ganti listyo contohlah mentri keuangan purbaya netizen sk gaya koboy beliau blak blakan ingin membenahi internal ny yg rusak. jgn smp dinepalkan emang betul apa kata bang rismon uda akut sekarat sistemnya,prabowo minimal ganti listyo contoh tri uang netizen sk gaya koboy beliau blak blakan benah internal ny rusak jgn smp dinepalkan emang abang rismon uda akut sekarat sistem,positive
@Dennysiregar7 @pertamina @NasbiHasan deny ga terima dikatain 'salah langkah dalam catur' kalo yg ini kamu ada benarnya den....iya betul sejak 2018 purbaya sudah nyuruh pertamina bikin kilang migas tapi ada salahnya kamu den si nasbi baru beberapa hari nyemplung pertamina agak pinter dikit nyerangnya den ,@dennysiregar7 @pertamina @nasbihasan deny ga terima dikatain 'salah langkah dalam catur' kalo yg ini kamu ada benarnya den....iya betul sejak 2018 purbaya sudah nyuruh pertamina bikin kilang migas tapi ada salahnya kamu den si nasbi baru beberapa hari nyemplung pertamina agak pinter dikit nyerangnya den ,deny terima dikatain salah langkah catur benar den iya nyuruh pertamina bikin kilang migas salah den si nasbi nyemplung pertamina pinter dikit nyerangnya den,positive
Saat berkunjung ke kantor Bloomberg Technoz pada Selasa (30/9/2025) Menteri Keuangan Purbaya Yudhi Sadewa juga menyarankan generasi muda memulai investasi di saham atau reksa dana profesional sebelum berinvestasi di emas. Simak informasi selengkapnya di video berikut ini. https://t.co/XtTXCuQoCj,saat berkunjung ke kantor bloomberg technoz pada selasa (30/9/2025) menteri keuangan purbaya yudhi sadewa juga menyarankan generasi muda memulai investasi di saham atau reksa dana profesional sebelum berinvestasi di emas. simak informasi selengkapnya di video berikut ini. https://t.co/xttxcuqocj,kunjung kantor bloomberg technoz selasa menteri uang yudhi sadewa saran generasi muda investasi saham reksa dana profesional investasi emas simak informasi lengkap video,neutral
Menteri Keuangan Purbaya Yudhi Sadewa menilai minat Gen Z berinvestasi di crypto bagus namun menekankan pentingnya memahami teori teknik analisis jangka pendek dan pengaruh makroekonomi terutama dari AS. Simak informasi selengkapnya di video berikut ini. https://t.co/nYNUvJFU2o,menteri keuangan purbaya yudhi sadewa menilai minat gen z berinvestasi di crypto bagus namun menekankan pentingnya memahami teori teknik analisis jangka pendek dan pengaruh makroekonomi terutama dari as. simak informasi selengkapnya di video berikut ini. https://t.co/nynuvjfu2o,menteri uang yudhi sadewa nilai minat gen z investasi crypto bagus tekan paham teori teknik analisis jangka pendek pengaruh makroekonomi as simak informasi lengkap video,neutral
®️ Menkeu Mendadak Diinterupsi DPR saat Bongkar 'Borok' Subsidi BUMNPurbaya: Suruh Menghadap Saya https://t.co/PZ0E997x8K #menkeu #purbaya #diinterupsi #DPR #bongkar #borok #subsidi #BUMN https://t.co/OaeKdHlpWn,®️ menkeu mendadak diinterupsi dpr saat bongkar 'borok' subsidi bumnpurbaya: suruh menghadap saya https://t.co/pz0e997x8k #menkeu #purbaya #diinterupsi #dpr #bongkar #borok #subsidi #bumn https://t.co/oaekdhlpwn,registered dadak interupsi dpr bongkar borok subsidi bumnpurbaya suruh hadap interupsi dpr bongkar borok subsidi bumn,neutral
Menteri Keuangan Purbaya Yudhi Sadewa meninjau proses penyerapan anggaran dari penempatan dana pemerintah sebesar Rp55 triliun saat menyambangi kantor PT Bank Negara Indonesia Tbk https://t.co/4s6cuOkIvT,menteri keuangan purbaya yudhi sadewa meninjau proses penyerapan anggaran dari penempatan dana pemerintah sebesar rp55 triliun saat menyambangi kantor pt bank negara indonesia tbk https://t.co/4s6cuokivt,menteri uang yudhi sadewa tinjau proses serap anggar tempat dana perintah rupiah triliun sambang kantor pt bank negara indonesia tbk,neutral
@Pendekar969 Karena dia lagi diledekin ma pak Purbaya ...,@pendekar969 karena dia lagi diledekin ma pak purbaya ...,diledekin ma,positive
Cukai Rokok Tak Naik Serikat Pekerja &amp; Petani Kirim Karangan Bunga ke Purbaya https://t.co/JOrCvoK6zC,cukai rokok tak naik serikat pekerja &amp; petani kirim karangan bunga ke purbaya https://t.co/jorcvok6zc,cukai rokok serikat kerja amp tani kirim karang bunga,negative
 Dia cuma bilang langkahnya bagus. Saya enggak tahu yang disebut yang mana. Rupanya dia ngikutin saya di TikTok. Berarti dia ngikutin di media kan kelihatannya dia memuji bagus langkahnya agresif kata Purbaya. Baca selengkapnya https://t.co/f6vmUi9viX ~LL #Purbaya https://t.co/irmqUF50fe, dia cuma bilang langkahnya bagus. saya enggak tahu yang disebut yang mana. rupanya dia ngikutin saya di tiktok. berarti dia ngikutin di media kan kelihatannya dia memuji bagus langkahnya agresif kata purbaya. baca selengkapnya https://t.co/f6vmui9vix ~ll #purbaya https://t.co/irmquf50fe,bilang langkah bagus ngikutin tiktok ngikutin media puji bagus langkah agresif baca lengkap ll,positive
@AnKiiim_ GAYA KOBOI PURBAYA MENKEU MEMBUAT KETAR PERTAMINA. MMG HRS DIHADAPI DGN MODEL BEGINI PAK PURBAYA UTK MERUBAH KEUANGAN BUMN KEMBALI SEHAT. RAKYAT ADA DIPIHAK MENKEU. KAMI MEREKORD KETIKA MULAI DILANTIK BYK DUKUNGAN POSITIF KINERJANYA SGT MEMBUKA PERMASALAHAN RUWET MENJADI CAIR,@ankiiim_ gaya koboi purbaya menkeu membuat ketar pertamina. mmg hrs dihadapi dgn model begini pak purbaya utk merubah keuangan bumn kembali sehat. rakyat ada dipihak menkeu. kami merekord ketika mulai dilantik byk dukungan positif kinerjanya sgt membuka permasalahan ruwet menjadi cair,gaya koboi ketar pertamina mmg hrs hadap model rubah uang bumn sehat rakyat pihak merekord lantik byk dukung positif kerja sgt buka masalah ruwet cair,positive
Layak didukung Rakyat Pak Purbaya @KemenkeuRI https://t.co/Z0CY4Rjhg5,layak didukung rakyat pak purbaya @kemenkeuri https://t.co/z0cy4rjhg5,layak dukung rakyat,positive
@BosPurwa Menyalah Purbaya..... Sikat Pak para bajingan. https://t.co/bpURBUpGxD,@bospurwa menyalah purbaya..... sikat pak para bajingan. https://t.co/bpurbupgxd,salah sikat bajing,positive
Menkeu Purbaya Yudhi Sadewa meminta Komisi XI DPR mendorong PT Pertamina (Persero) segera membangun kilang minyak baru guna mengurangi ketergantungan pada impor..... #menkeupurbaya #Pertamina #DPRRI https://t.co/izCl2DwlV2,menkeu purbaya yudhi sadewa meminta komisi xi dpr mendorong pt pertamina (persero) segera membangun kilang minyak baru guna mengurangi ketergantungan pada impor..... #menkeupurbaya #pertamina #dprri https://t.co/izcl2dwlv2,yudhi sadewa komisi xi dpr dorong pt pertamina persero bangun kilang minyak kurang gantung impor menkeupurbaya pertamina dprri,neutral
Menkeu Purbaya Beberkan Harga Asli Barang Subsidi Mulai dari Pertalite hingga LPG 3 Kg Menteri Keuangan Purbaya Yudhi Sadewa memaparkan rincian harga asli sejumlah barang subsidi mulai dari Pertalite hingga LPG 3 kilogram (kg) sebelum selisih harga ditanggung pemerintah https://t.co/OJgu5JVXgE,menkeu purbaya beberkan harga asli barang subsidi mulai dari pertalite hingga lpg 3 kg menteri keuangan purbaya yudhi sadewa memaparkan rincian harga asli sejumlah barang subsidi mulai dari pertalite hingga lpg 3 kilogram (kg) sebelum selisih harga ditanggung pemerintah https://t.co/ojgu5jvxge,kan harga asli barang subsidi pertalite lpg kilogram menteri uang yudhi sadewa papar rincian harga asli barang subsidi pertalite lpg kilogram kilogram selisih harga tanggung perintah,neutral
Sampai sini kami paham Pak Menkeu Purbaya @kemenkeu berpihak ke mana. #SaveOurSurroundings #LindungiKininanti #RokokHarusMahal #MenkeuPurbaya #PurbayaYudhiSadewa #KoboiOligarki https://t.co/AksBaXK5jt,sampai sini kami paham pak menkeu purbaya @kemenkeu berpihak ke mana. #saveoursurroundings #lindungikininanti #rokokharusmahal #menkeupurbaya #purbayayudhisadewa #koboioligarki https://t.co/aksbaxk5jt,paham pihak saveoursurroundings lindungikininanti rokokharusmahal menkeupurbaya purbayayudhisadewa koboioligarki,positive
